event_id,event_chain_id,ts_code,event_type,direction,window,car_market_adjusted
C-AN202012311445696507,8db8d3b0a1db26,600038.SH,project_investment,positive,"[-1,1]",0.03148668899141998
C-AN202012311445696507,8db8d3b0a1db26,600038.SH,project_investment,positive,"[-3,3]",0.07469067846395538
C-AN202012311445696507,8db8d3b0a1db26,600038.SH,project_investment,positive,"[0,5]",-0.04027709519148741
C-AN202012311445696507,8db8d3b0a1db26,600038.SH,project_investment,positive,"[0,10]",-0.0887820419567473
C-AN202101041446940189,f1d550a7d87305,000099.SZ,project_investment,positive,"[-1,1]",-0.13457978294691242
C-AN202101041446940189,f1d550a7d87305,000099.SZ,project_investment,positive,"[-3,3]",-0.1727252928231302
C-AN202101041446940189,f1d550a7d87305,000099.SZ,project_investment,positive,"[0,5]",-0.12591616970341243
C-AN202101041446940189,f1d550a7d87305,000099.SZ,project_investment,positive,"[0,10]",-0.11207576153381199
C-AN202101121449994977,3e2aedad8c52f2,002085.SZ,project_investment,positive,"[-1,1]",-0.005331856966725041
C-AN202101121449994977,3e2aedad8c52f2,002085.SZ,project_investment,positive,"[-3,3]",-0.0601114418660253
C-AN202101121449994977,3e2aedad8c52f2,002085.SZ,project_investment,positive,"[0,5]",-0.03909616122705495
C-AN202101121449994977,3e2aedad8c52f2,002085.SZ,project_investment,positive,"[0,10]",-0.10181084676753008
C-AN202101131450177702,9e94fead611dea,002389.SZ,project_investment,positive,"[-1,1]",-0.08491054079579079
C-AN202101131450177702,9e94fead611dea,002389.SZ,project_investment,positive,"[-3,3]",-0.1390373658661403
C-AN202101131450177702,9e94fead611dea,002389.SZ,project_investment,positive,"[0,5]",-0.06502729674310381
C-AN202101131450177702,9e94fead611dea,002389.SZ,project_investment,positive,"[0,10]",-0.1750124984446473
C-AN202103241475601933,064d07c8c3e73d,000099.SZ,project_investment,positive,"[-1,1]",-0.0237898066200315
C-AN202103241475601933,064d07c8c3e73d,000099.SZ,project_investment,positive,"[-3,3]",0.038780697560618416
C-AN202103241475601933,064d07c8c3e73d,000099.SZ,project_investment,positive,"[0,5]",-0.002455463158421309
C-AN202103241475601933,064d07c8c3e73d,000099.SZ,project_investment,positive,"[0,10]",0.016174757647695184
C-AN202103281477711035,eb3dcc1931c70b,002389.SZ,project_investment,positive,"[-1,1]",0.012486485478400783
C-AN202103281477711035,eb3dcc1931c70b,002389.SZ,project_investment,positive,"[-3,3]",0.0008137488368657065
C-AN202103281477711035,eb3dcc1931c70b,002389.SZ,project_investment,positive,"[0,5]",-0.026902982403238643
C-AN202103281477711035,eb3dcc1931c70b,002389.SZ,project_investment,positive,"[0,10]",-0.04506086903007185
C-AN202103311479250543,b2fe02c8a76197,000099.SZ,project_investment,positive,"[-1,1]",-0.027303421469168726
C-AN202103311479250543,b2fe02c8a76197,000099.SZ,project_investment,positive,"[-3,3]",0.009390792559686906
C-AN202103311479250543,b2fe02c8a76197,000099.SZ,project_investment,positive,"[0,5]",-0.00675442752638648
C-AN202103311479250543,b2fe02c8a76197,000099.SZ,project_investment,positive,"[0,10]",0.004858367833873105
