ts_code,trade_date,company_event_count,company_event_signed_impulse,company_event_risk_impulse,company_event_amount_log,company_event_initial_count,company_event_intensity
000099.SZ,2021-01-06,1,2.4000000000000004,0.18000000000000002,16.118095750958314,1,3
000099.SZ,2021-03-26,1,1.2000000000000002,0.36000000000000004,0.0,1,3
000099.SZ,2021-04-02,1,3.2,0.24,0.0,0,4
000099.SZ,2021-04-21,1,1.2000000000000002,0.36000000000000004,0.0,1,3
000099.SZ,2021-07-23,1,3.0,0.09000000000000001,0.0,1,3
000099.SZ,2022-01-07,1,3.0,0.09000000000000001,0.0,1,3
000099.SZ,2023-02-09,1,3.0,0.09000000000000001,0.0,1,3
000099.SZ,2024-01-08,1,3.0,0.09000000000000001,0.0,1,3
000099.SZ,2025-01-09,1,3.0,0.09000000000000001,0.0,1,3
000801.SZ,2024-05-30,1,1.2000000000000002,0.36000000000000004,0.0,1,3
000801.SZ,2025-12-08,1,2.4000000000000004,0.18000000000000002,0.0,0,3
000801.SZ,2026-04-20,1,1.2000000000000002,0.36000000000000004,0.0,1,3
002085.SZ,2021-01-14,1,2.4000000000000004,0.18000000000000002,0.0,1,3
002085.SZ,2021-06-23,1,2.4,0.36,20.970125915659185,1,4
002085.SZ,2022-04-15,1,2.4000000000000004,0.18000000000000002,0.0,0,3
002085.SZ,2025-03-12,1,1.6,0.48,0.0,1,4
002085.SZ,2025-03-24,1,3.2,0.24,0.0,0,4
002389.SZ,2021-07-26,1,0.5999999999999999,0.44999999999999996,0.0,1,3
002389.SZ,2022-04-08,1,2.4000000000000004,0.18000000000000002,16.286250752356974,1,3
002389.SZ,2023-01-04,1,3.2,0.24,19.85576527162264,1,4
002389.SZ,2025-12-10,1,1.2000000000000002,0.36000000000000004,0.0,1,3
002389.SZ,2026-01-30,1,1.2000000000000002,0.36000000000000004,0.0,1,3
300900.SZ,2022-08-18,1,1.2000000000000002,0.36000000000000004,19.519293035953808,1,3
300900.SZ,2022-09-02,1,1.2000000000000002,0.36000000000000004,19.519293035953808,0,3
300900.SZ,2024-01-30,1,2.4000000000000004,0.18000000000000002,15.424948670398354,1,3
300900.SZ,2024-04-26,1,2.4,0.36,19.519293035953808,0,4
600038.SH,2023-01-10,1,1.6,0.48,0.0,0,4
600038.SH,2023-01-11,1,-0.30000000000000004,2.4000000000000004,0.0,1,3
600038.SH,2023-09-22,1,2.4,0.36,0.0,1,4
600038.SH,2023-10-09,1,2.4,0.36,0.0,1,4
600038.SH,2023-12-27,1,3.2,0.24,0.0,1,4
600879.SH,2022-10-14,1,1.7999999999999998,0.26999999999999996,15.894952224644102,1,3
688070.SH,2021-04-02,1,-0.30000000000000004,2.4000000000000004,0.0,0,3
688070.SH,2021-06-09,1,3.0,0.09000000000000001,0.0,0,3
688070.SH,2021-06-18,1,0.5999999999999999,0.44999999999999996,0.0,1,3
688070.SH,2023-06-05,1,1.2000000000000002,0.36000000000000004,0.0,1,3
688070.SH,2024-10-16,1,-0.5999999999999999,3.0,13.815511557963774,1,3
688070.SH,2025-05-09,1,1.6,0.48,15.618539784249492,1,4
688070.SH,2025-11-10,1,3.0,0.09000000000000001,0.0,0,3
688070.SH,2026-01-05,1,-3.0,0.6000000000000001,0.0,1,3
688297.SH,2023-01-16,1,2.4000000000000004,0.18000000000000002,14.947267767690855,1,3
688297.SH,2024-02-07,1,-2.4000000000000004,1.2000000000000002,15.191931587766456,1,3
688297.SH,2024-04-30,1,0.5999999999999999,0.44999999999999996,0.0,1,3
688297.SH,2025-03-03,1,-4.0,2.0,15.472271082048719,1,5
688297.SH,2025-10-09,1,4.0,0.3,15.516013470345776,1,5
688297.SH,2026-03-02,1,4.0,0.3,15.58219167771505,1,5
