trade_date,ts_code,name,industry_role,tier,event_window_20d,days_since_company_event,relative_strength_probability,volatility_jump_probability,relative_strength_rank,volatility_risk_rank
2026-06-15,000099.SZ,中信海直,低空运营与通航服务,core,0,343,0.469357527610842,0.39655324959924065,40,34
2026-06-15,000547.SZ,航天发展,电子信息与空天防务系统,extended,0,999,0.490450794427429,0.2777346854306949,32,52
2026-06-15,000738.SZ,航发控制,航空发动机控制系统,extended,0,999,0.46301260612574263,0.42579842237490334,44,30
2026-06-15,000801.SZ,四川九洲,空管与通信设备,core,0,37,0.4493983218465054,0.4330476580890673,53,27
2026-06-15,001696.SZ,宗申动力,航空动力与无人机产业链,extended,0,999,0.38642169082652805,0.4324305181682929,58,28
2026-06-15,002023.SZ,海特高新,航空维修与模拟训练,extended,0,999,0.46527107111521965,0.20198826994823071,42,57
2026-06-15,002025.SZ,航天电器,航空航天连接器与继电器,extended,0,999,0.457059159216981,0.22258645819086786,49,56
2026-06-15,002085.SZ,万丰奥威,通航飞机与零部件,core,0,297,0.45856618414114075,0.40133451486499316,48,32
2026-06-15,002111.SZ,威海广泰,机场地面设备与无人装备,extended,0,999,0.5728854279496481,0.5863766811922391,6,7
2026-06-15,002151.SZ,北斗星通,北斗导航与定位,extended,0,999,0.521769440852733,0.3445605550610391,19,43
2026-06-15,002179.SZ,中航光电,航空连接器与电子互连,extended,0,999,0.4608651048629126,0.4546157772363564,46,22
2026-06-15,002389.SZ,航天彩虹,无人机整机与应用,core,0,86,0.4872335946078919,0.5703352495747019,35,8
2026-06-15,002413.SZ,雷科防务,雷达感知与智能控制,extended,0,999,0.5616870876773884,0.4823056871119308,7,19
2026-06-15,002414.SZ,高德红外,红外探测与载荷设备,extended,0,999,0.44225607264125966,0.642190992715288,55,4
2026-06-15,002465.SZ,海格通信,通信导航与北斗应用,extended,0,999,0.4950778542280891,0.1265676345404824,28,59
2026-06-15,002544.SZ,普天科技,通信网络与智慧应用,extended,0,999,0.5542669761005449,0.43993377272146095,12,24
2026-06-15,002708.SZ,光洋股份,航空零部件,extended,0,999,0.5422054173200136,0.338422621943825,15,45
2026-06-15,002829.SZ,星网宇达,惯性导航与无人系统,extended,0,999,0.49478656125508236,0.23087651210461563,29,54
2026-06-15,300034.SZ,钢研高纳,航空高温合金与材料,extended,0,999,0.4499808422956242,0.37171428709953647,52,39
2026-06-15,300036.SZ,超图软件,地理信息系统与数字底座,extended,0,999,0.5174566762502212,0.48473916519118454,20,17
2026-06-15,300045.SZ,华力创通,卫星导航与通信,extended,0,999,0.5594055135298751,0.345602346287444,9,42
2026-06-15,300053.SZ,航宇微,卫星遥感与宇航电子,extended,0,999,0.5037612909253281,0.31933744641646905,27,46
2026-06-15,300101.SZ,振芯科技,北斗导航与集成电路,extended,0,999,0.5426627677339244,0.4362474444866761,13,26
2026-06-15,300177.SZ,中海达,高精度定位与三维地理信息,extended,0,999,0.5582885184296469,0.4840752751982548,10,18
2026-06-15,300213.SZ,佳讯飞鸿,指挥调度与通信系统,extended,0,999,0.5766911579707084,0.4971056166737753,3,13
2026-06-15,300284.SZ,苏交科,低空交通规划与工程咨询,extended,0,999,0.468374873600657,0.5423063790800569,41,10
2026-06-15,300424.SZ,航新科技,航空维修与机载检测,extended,0,999,0.49044274934087545,0.2284984914230164,33,55
2026-06-15,300455.SZ,航天智装,航天智能装备与测控,extended,0,999,0.4813001202621486,0.39810067139515337,38,33
2026-06-15,300456.SZ,赛微电子,MEMS传感器与惯性器件,extended,0,999,0.5902588651011201,0.19489133492759567,2,58
2026-06-15,300581.SZ,晨曦航空,航空惯性导航与控制,extended,0,999,0.3751434339384145,0.27988838380767744,59,51
2026-06-15,300627.SZ,华测导航,高精度定位与导航,extended,0,999,0.48810697521209384,0.35810674095214556,34,41
2026-06-15,300696.SZ,爱乐达,航空零部件精密制造,extended,0,999,0.49053421129346003,0.4385432717994935,31,25
2026-06-15,300719.SZ,安达维尔,机载设备与航空维修,extended,0,999,0.46158560914291896,0.3108347630076824,45,47
2026-06-15,300722.SZ,新余国科,无人装备与火工品配套,extended,0,999,0.4502205069017718,0.5663938227515852,51,9
2026-06-15,300762.SZ,上海瀚讯,宽带通信与指挥调度,extended,0,999,0.48620526422109833,0.3798222352422994,37,37
2026-06-15,300775.SZ,三角防务,航空锻件与结构件,extended,0,999,0.4723276551624962,0.42379015353148713,39,31
2026-06-15,300900.SZ,广联航空,航空复合材料与无人机零部件,extended,0,515,0.542518797743921,0.2819760811060173,14,50
2026-06-15,301050.SZ,雷电微力,毫米波雷达与探测系统,extended,0,999,0.4865634390555178,0.3657106159031123,36,40
